Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM
Christian Koloko,C,2022,0.16666666666666663,JR,Arizona,0.625,0.08333333333333333,0.875,0.7291666666666666,95,0.625,0.5,0.5833333333333334,0.16666666666666666,0.2916666666666667,0.375,0.4166666666666667,0.6666666666666666,0.625,0.25,0.16666666666666666,0.375,0.7083333333333334,0.5416666666666666
Dewayne Dedmon,C,2013,0.0,JR,Southern California,0.3125,0.4166666666666667,0.7083333333333334,0.4583333333333333,151,0.08333333333333333,0.08333333333333333,0.5416666666666666,1.0,0.9583333333333334,0.2916666666666667,1.0,0.8333333333333334,0.16666666666666663,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.8333333333333334,0.20833333333333334
Gorgui Dieng,C,2013,0.04166666666666663,JR,Louisville,0.16666666666666666,0.125,0.6041666666666666,0.8958333333333334,49,0.4166666666666667,0.4166666666666667,0.7916666666666666,0.75,0.7083333333333334,0.75,0.7916666666666666,0.875,0.29166666666666663,0.041666666666666664,0.5416666666666666,0.4583333333333333,0.9166666666666666,0.75
Jarrett Allen,C,2017,0.875,FR,Texas,0.041666666666666664,0.25,0.9166666666666666,0.5833333333333334,18,0.5,0.5416666666666666,0.4583333333333333,0.25,0.3333333333333333,0.25,0.20833333333333334,0.20833333333333334,0.25,0.5833333333333334,0.6666666666666666,0.2916666666666667,0.16666666666666666,0.16666666666666666
Myles Turner,C,2015,0.8333333333333334,FR,Texas,0.16666666666666666,0.375,0.7083333333333334,0.9583333333333334,5,0.375,0.041666666666666664,0.08333333333333333,0.875,0.6666666666666666,0.4166666666666667,0.125,0.9583333333333334,0.7083333333333333,0.7916666666666666,0.3333333333333333,0.3333333333333333,0.875,0.6666666666666666
Trevion Williams,C,2022,0.33333333333333337,SR,Purdue,0.08333333333333333,0.8333333333333334,0.2916666666666667,0.10416666666666667,124,0.125,0.25,0.9583333333333334,0.8333333333333334,1.0,0.9583333333333334,0.875,0.16666666666666666,0.375,1.0,0.75,0.8333333333333334,0.3541666666666667,0.7916666666666666
Henry Sims,C,2012,0.25,SR,Georgetown,0.3125,0.5833333333333334,0.7083333333333334,0.22916666666666666,55,0.16666666666666666,0.125,0.25,0.20833333333333334,0.041666666666666664,1.0,0.375,0.4166666666666667,0.0,0.6666666666666666,0.4166666666666667,0.16666666666666666,0.5833333333333334,0.25
Orlando Robinson,C,2022,0.20833333333333337,JR,Fresno State,0.5,0.6666666666666666,0.375,0.4166666666666667,268,0.25,0.20833333333333334,0.2916666666666667,0.4583333333333333,0.375,0.875,0.625,0.4583333333333333,0.41666666666666663,0.875,1.0,0.7083333333333334,0.08333333333333333,0.4583333333333333
Mark Williams,C,2022,0.5833333333333333,SO,Duke,0.9166666666666666,0.5208333333333334,1.0,1.0,29,1.0,0.9583333333333334,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.4583333333333333,0.3333333333333333,0.75,0.875,0.3333333333333333,0.375,0.9166666666666666,0.6666666666666666,0.9166666666666666
Walker Kessler,C,2022,0.45833333333333337,SO,Auburn,0.9583333333333334,0.75,0.5208333333333334,0.7291666666666666,20,0.7916666666666666,0.875,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.9166666666666666,1.0,0.9166666666666666,0.2916666666666667,0.5833333333333334,0.75,1.0,1.0
Andre Drummond,C,2012,0.9166666666666666,FR,Connecticut,0.16666666666666666,1.0,0.9583333333333334,0.5833333333333334,187,0.041666666666666664,0.3333333333333333,0.9166666666666666,0.041666666666666664,0.5,0.041666666666666664,0.5833333333333334,0.7916666666666666,0.6666666666666667,0.4583333333333333,0.5,0.25,0.20833333333333334,0.125
Jalen Duren,C,2022,0.9583333333333334,FR,Memphis,0.375,0.5208333333333334,0.7916666666666666,0.8333333333333334,5,0.6666666666666666,0.6666666666666666,0.75,0.4166666666666667,0.625,0.625,0.5416666666666666,0.625,0.04166666666666663,0.5,0.4583333333333333,0.5,0.4166666666666667,0.375
Jakob Poeltl,C,2016,0.5416666666666667,SO,Utah,1.0,0.4583333333333333,0.3333333333333333,0.8958333333333334,253,0.9583333333333334,1.0,0.875,0.6666666666666666,0.7916666666666666,0.8333333333333334,0.2916666666666667,0.5,0.45833333333333337,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.3541666666666667,0.7083333333333334
Jaylin Williams,C,2022,0.7916666666666666,SO,Arkansas,0.25,0.2916666666666667,0.041666666666666664,0.10416666666666667,86,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.9166666666666666,0.4583333333333333,0.7083333333333334,0.7083333333333334,0.375,0.125,0.16666666666666666,0.2916666666666667,0.20833333333333334,0.7916666666666666,0.3333333333333333
Moritz Wagner,C,2018,0.41666666666666663,JR,Michigan,0.4583333333333333,0.625,0.20833333333333334,0.22916666666666666,113,0.875,0.9166666666666666,0.125,0.375,0.125,0.20833333333333334,0.75,0.041666666666666664,0.8333333333333334,0.75,0.625,0.5833333333333334,0.25,0.4166666666666667
Kofi Cockburn,C,2022,0.08333333333333337,JR,Illinois,0.6666666666666666,0.9583333333333334,0.5208333333333334,0.375,44,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.08333333333333333,0.25,0.3333333333333333,0.7916666666666666,0.8333333333333334,0.875,0.875,0.125,0.625
Cody Zeller,C,2013,0.5,SO,Indiana,0.5625,0.16666666666666666,0.08333333333333333,0.041666666666666664,12,0.9166666666666666,0.75,0.625,0.2916666666666667,0.5416666666666666,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.5833333333333333,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.5,0.8333333333333334
Frank Kaminsky,C,2015,0.29166666666666663,SR,Wisconsin,0.8541666666666666,0.20833333333333334,0.14583333333333334,0.5833333333333334,187,0.8333333333333334,0.5833333333333334,0.16666666666666666,0.625,0.20833333333333334,0.9166666666666666,0.5,0.2916666666666667,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.75,0.9583333333333334
Mason Plumlee,C,2013,0.125,SR,Duke,0.7291666666666666,0.3333333333333333,0.14583333333333334,0.22916666666666666,18,0.75,0.8333333333333334,0.375,0.9583333333333334,0.875,0.7916666666666666,0.4583333333333333,0.125,0.20833333333333337,0.5416666666666666,0.8333333333333334,0.6666666666666666,0.5416666666666666,0.5833333333333334
Moussa Diabate,C,2022,0.625,FR,Michigan,0.4166666666666667,0.041666666666666664,0.25,0.3333333333333333,17,0.2916666666666667,0.375,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.25,0.33333333333333337,0.375,0.125,0.125,0.041666666666666664,0.041666666666666664
Meyers Leonard,C,2012,0.6666666666666667,SO,Illinois,0.8541666666666666,0.7916666666666666,0.4375,0.22916666666666666,29,0.5625,0.4583333333333333,0.20833333333333334,0.7083333333333334,0.16666666666666666,0.5416666666666666,0.16666666666666666,0.5416666666666666,0.08333333333333337,0.4166666666666667,0.20833333333333334,0.08333333333333333,0.4583333333333333,0.08333333333333333
Willie Cauley-Stein,C,2015,0.375,JR,Kentucky,0.7291666666666666,0.7083333333333334,0.4375,0.7916666666666666,39,0.5625,0.7916666666666666,0.5,0.125,0.25,0.5,0.9583333333333334,0.7083333333333334,0.5416666666666667,0.08333333333333333,0.25,0.625,0.9583333333333334,0.875
Steven Adams,C,2013,0.75,FR,Pittsburgh,0.5625,0.875,0.8333333333333334,0.5833333333333334,5,0.3333333333333333,0.625,1.0,0.5208333333333334,0.9166666666666666,0.125,0.6666666666666666,0.9166666666666666,0.5,0.125,0.08333333333333333,0.5416666666666666,0.625,0.5
Alex Len,C,2013,0.7083333333333333,SO,Maryland,0.7916666666666666,0.9166666666666666,0.6041666666666666,0.5833333333333334,187,0.4583333333333333,0.2916666666666667,0.8333333333333334,0.5208333333333334,0.75,0.5833333333333334,0.08333333333333333,0.5833333333333334,0.75,0.625,0.7083333333333334,0.4166666666666667,0.2916666666666667,0.2916666666666667
John Henson,PF,2012,0.375,JR,North Carolina,0.71875,0.10416666666666667,0.9375,0.9375,4,0.041666666666666664,0.10416666666666667,0.3333333333333333,0.8333333333333334,0.7083333333333334,0.3333333333333333,0.0625,0.8958333333333334,0.8333333333333334,0.3854166666666667,0.3541666666666667,0.22916666666666666,0.8958333333333334,0.5625
Andre Roberson,PF,2013,0.35416666666666663,JR,Colorado,0.10416666666666667,0.0625,0.125,0.0625,151,0.25,0.3541666666666667,0.625,0.9375,0.9166666666666666,0.5,1.0,0.5833333333333334,0.08333333333333337,0.14583333333333334,0.16666666666666666,0.2708333333333333,0.7916666666666666,0.4583333333333333
E.J. Liddell,PF,2022,0.22916666666666663,JR,Ohio State,0.14583333333333334,0.7916666666666666,0.3125,0.10416666666666667,47,0.4375,0.3125,0.6666666666666666,0.3333333333333333,0.4375,0.8333333333333334,0.16666666666666666,0.8125,0.5416666666666667,0.7708333333333334,0.6041666666666666,0.8125,0.4791666666666667,0.7083333333333334
Bryson Williams,PF,2022,0.02083333333333337,SR,Texas Tech,0.6354166666666666,0.6041666666666666,0.6875,0.5,272,0.625,0.75,0.3541666666666667,0.020833333333333332,0.020833333333333332,0.1875,0.125,0.14583333333333334,0.8125,0.4166666666666667,0.4166666666666667,0.7395833333333334,0.34375,0.6458333333333334
Jarell Martin,PF,2015,0.47916666666666663,SO,Louisiana State,0.46875,0.5,0.020833333333333332,0.4166666666666667,12,0.3125,0.2916666666666667,0.125,0.0625,0.07291666666666667,0.5520833333333334,0.6458333333333334,0.041666666666666664,0.39583333333333337,0.3854166666666667,0.4583333333333333,0.09375,0.10416666666666667,0.0625
Miles Plumlee,PF,2012,0.0625,SR,Duke,0.9375,0.875,0.375,0.22916666666666666,82,0.5416666666666666,0.6875,0.9791666666666666,0.625,0.7604166666666666,0.10416666666666667,0.3854166666666667,0.3333333333333333,0.02083333333333337,0.020833333333333332,0.020833333333333332,0.14583333333333334,0.28125,0.10416666666666667
Terrence Jones,PF,2012,0.6041666666666667,SO,Kentucky,0.5625,0.8541666666666666,0.6041666666666666,0.4791666666666667,10,0.14583333333333334,0.14583333333333334,0.28125,0.21875,0.22916666666666666,0.59375,0.9166666666666666,0.6458333333333334,0.6458333333333333,0.5208333333333334,0.625,0.4791666666666667,0.8541666666666666,0.6875
